[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 0
  VAL_FRAC = 0.1
  SEED = 0
  NOISE_P = 0.3
  NOISE_MODE = thinning

1233 個 patch，device=mps，噪聲 thinning p=0.3
epoch  275 | train_nll -1.28788 | train_fsce 0.00000 | val_dev 0.75497 | expl_dev 0.48951
epoch  280 | train_nll -1.28522 | train_fsce 0.00000 | val_dev 0.74695 | expl_dev 0.49493
epoch  285 | train_nll -1.29117 | train_fsce 0.00000 | val_dev 0.74769 | expl_dev 0.49443
epoch  290 | train_nll -1.29154 | train_fsce 0.00000 | val_dev 0.73902 | expl_dev 0.50029
epoch  295 | train_nll -1.29028 | train_fsce 0.00000 | val_dev 0.74109 | expl_dev 0.49889
epoch  300 | train_nll -1.29003 | train_fsce 0.00000 | val_dev 0.73275 | expl_dev 0.50453
epoch  305 | train_nll -1.29033 | train_fsce 0.00000 | val_dev 0.72593 | expl_dev 0.50914
epoch  310 | train_nll -1.29434 | train_fsce 0.00000 | val_dev 0.72859 | expl_dev 0.50734
epoch  315 | train_nll -1.29561 | train_fsce 0.00000 | val_dev 0.71329 | expl_dev 0.51769
epoch  320 | train_nll -1.29670 | train_fsce 0.00000 | val_dev 0.73617 | expl_dev 0.50222
epoch  325 | train_nll -1.28924 | train_fsce 0.00000 | val_dev 0.73344 | expl_dev 0.50407
epoch  330 | train_nll -1.29445 | train_fsce 0.00000 | val_dev 0.73407 | expl_dev 0.50364
epoch  335 | train_nll -1.28956 | train_fsce 0.00000 | val_dev 0.75411 | expl_dev 0.49009
epoch  340 | train_nll -1.29292 | train_fsce 0.00000 | val_dev 0.72034 | expl_dev 0.51292
epoch  345 | train_nll -1.29501 | train_fsce 0.00000 | val_dev 0.72502 | expl_dev 0.50975
epoch  350 | train_nll -1.30221 | train_fsce 0.00000 | val_dev 0.71143 | expl_dev 0.51894
epoch  355 | train_nll -1.30180 | train_fsce 0.00000 | val_dev 0.72852 | expl_dev 0.50739
epoch  360 | train_nll -1.29791 | train_fsce 0.00000 | val_dev 0.72180 | expl_dev 0.51193
epoch  365 | train_nll -1.29970 | train_fsce 0.00000 | val_dev 0.71098 | expl_dev 0.51925
epoch  370 | train_nll -1.30439 | train_fsce 0.00000 | val_dev 0.71035 | expl_dev 0.51968
epoch  375 | train_nll -1.30272 | train_fsce 0.00000 | val_dev 0.72904 | expl_dev 0.50704
epoch  380 | train_nll -1.30223 | train_fsce 0.00000 | val_dev 0.72343 | expl_dev 0.51083
epoch  385 | train_nll -1.30037 | train_fsce 0.00000 | val_dev 0.71858 | expl_dev 0.51411
epoch  390 | train_nll -1.30465 | train_fsce 0.00000 | val_dev 0.71777 | expl_dev 0.51466
epoch  395 | train_nll -1.29923 | train_fsce 0.00000 | val_dev 0.71398 | expl_dev 0.51722
epoch  400 | train_nll -1.30720 | train_fsce 0.00000 | val_dev 0.71173 | expl_dev 0.51874
epoch  405 | train_nll -1.30370 | train_fsce 0.00000 | val_dev 0.72461 | expl_dev 0.51003
epoch  410 | train_nll -1.30798 | train_fsce 0.00000 | val_dev 0.70350 | expl_dev 0.52431
epoch  415 | train_nll -1.30537 | train_fsce 0.00000 | val_dev 0.71813 | expl_dev 0.51442
epoch  420 | train_nll -1.30753 | train_fsce 0.00000 | val_dev 0.70757 | expl_dev 0.52155
epoch  425 | train_nll -1.31034 | train_fsce 0.00000 | val_dev 0.72169 | expl_dev 0.51201
epoch  430 | train_nll -1.30812 | train_fsce 0.00000 | val_dev 0.70571 | expl_dev 0.52281
epoch  435 | train_nll -1.30164 | train_fsce 0.00000 | val_dev 0.75202 | expl_dev 0.49150
epoch  440 | train_nll -1.30233 | train_fsce 0.00000 | val_dev 0.69783 | expl_dev 0.52814
epoch  445 | train_nll -1.30395 | train_fsce 0.00000 | val_dev 0.68866 | expl_dev 0.53434
epoch  450 | train_nll -1.30887 | train_fsce 0.00000 | val_dev 0.69515 | expl_dev 0.52995
epoch  455 | train_nll -1.30327 | train_fsce 0.00000 | val_dev 0.68487 | expl_dev 0.53691
epoch  460 | train_nll -1.29790 | train_fsce 0.00000 | val_dev 0.70592 | expl_dev 0.52267
epoch  465 | train_nll -1.30377 | train_fsce 0.00000 | val_dev 0.71473 | expl_dev 0.51671
epoch  470 | train_nll -1.29828 | train_fsce 0.00000 | val_dev 0.73291 | expl_dev 0.50442
epoch  475 | train_nll -1.31412 | train_fsce 0.00000 | val_dev 0.69927 | expl_dev 0.52717
epoch  480 | train_nll -1.31292 | train_fsce 0.00000 | val_dev 0.68433 | expl_dev 0.53727
epoch  485 | train_nll -1.31209 | train_fsce 0.00000 | val_dev 0.68788 | expl_dev 0.53487
epoch  490 | train_nll -1.30537 | train_fsce 0.00000 | val_dev 0.69225 | expl_dev 0.53191
epoch  495 | train_nll -1.30658 | train_fsce 0.00000 | val_dev 0.71945 | expl_dev 0.51352
epoch  500 | train_nll -1.30339 | train_fsce 0.00000 | val_dev 0.68987 | expl_dev 0.53352
epoch  505 | train_nll -1.30595 | train_fsce 0.00000 | val_dev 0.69534 | expl_dev 0.52982
epoch  510 | train_nll -1.31002 | train_fsce 0.00000 | val_dev 0.70707 | expl_dev 0.52189
epoch  515 | train_nll -1.31407 | train_fsce 0.00000 | val_dev 0.70729 | expl_dev 0.52175
epoch  520 | train_nll -1.31921 | train_fsce 0.00000 | val_dev 0.69123 | expl_dev 0.53260
epoch  525 | train_nll -1.31302 | train_fsce 0.00000 | val_dev 0.67962 | expl_dev 0.54045
epoch  530 | train_nll -1.31564 | train_fsce 0.00000 | val_dev 0.67927 | expl_dev 0.54069
epoch  535 | train_nll -1.31664 | train_fsce 0.00000 | val_dev 0.69201 | expl_dev 0.53207
epoch  540 | train_nll -1.31856 | train_fsce 0.00000 | val_dev 0.69602 | expl_dev 0.52937
epoch  545 | train_nll -1.32270 | train_fsce 0.00000 | val_dev 0.70563 | expl_dev 0.52287
epoch  550 | train_nll -1.31834 | train_fsce 0.00000 | val_dev 0.67673 | expl_dev 0.54241
epoch  555 | train_nll -1.32155 | train_fsce 0.00000 | val_dev 0.68907 | expl_dev 0.53406
epoch  560 | train_nll -1.31783 | train_fsce 0.00000 | val_dev 0.69622 | expl_dev 0.52923
epoch  565 | train_nll -1.31471 | train_fsce 0.00000 | val_dev 0.69355 | expl_dev 0.53104
epoch  570 | train_nll -1.30211 | train_fsce 0.00000 | val_dev 0.72112 | expl_dev 0.51239
epoch  575 | train_nll -1.32497 | train_fsce 0.00000 | val_dev 0.69722 | expl_dev 0.52856
epoch  580 | train_nll -1.32265 | train_fsce 0.00000 | val_dev 0.68554 | expl_dev 0.53645
epoch  585 | train_nll -1.32369 | train_fsce 0.00000 | val_dev 0.70211 | expl_dev 0.52525
epoch  590 | train_nll -1.31449 | train_fsce 0.00000 | val_dev 0.69176 | expl_dev 0.53225
epoch  595 | train_nll -1.32134 | train_fsce 0.00000 | val_dev 0.68491 | expl_dev 0.53688
epoch  600 | train_nll -1.32303 | train_fsce 0.00000 | val_dev 0.70671 | expl_dev 0.52213
epoch  605 | train_nll -1.32279 | train_fsce 0.00000 | val_dev 0.69199 | expl_dev 0.53209
epoch  610 | train_nll -1.31993 | train_fsce 0.00000 | val_dev 0.69402 | expl_dev 0.53072
epoch  615 | train_nll -1.31709 | train_fsce 0.00000 | val_dev 0.68218 | expl_dev 0.53872
epoch  620 | train_nll -1.32177 | train_fsce 0.00000 | val_dev 0.68559 | expl_dev 0.53642
epoch  625 | train_nll -1.32483 | train_fsce 0.00000 | val_dev 0.68434 | expl_dev 0.53726
epoch  630 | train_nll -1.32713 | train_fsce 0.00000 | val_dev 0.66359 | expl_dev 0.55129
epoch  635 | train_nll -1.32213 | train_fsce 0.00000 | val_dev 0.68719 | expl_dev 0.53534
epoch  640 | train_nll -1.32223 | train_fsce 0.00000 | val_dev 0.68694 | expl_dev 0.53551
epoch  645 | train_nll -1.32562 | train_fsce 0.00000 | val_dev 0.66665 | expl_dev 0.54922
epoch  650 | train_nll -1.32796 | train_fsce 0.00000 | val_dev 0.66787 | expl_dev 0.54840
epoch  655 | train_nll -1.32337 | train_fsce 0.00000 | val_dev 0.67673 | expl_dev 0.54241
epoch  660 | train_nll -1.32536 | train_fsce 0.00000 | val_dev 0.69020 | expl_dev 0.53330
epoch  665 | train_nll -1.31881 | train_fsce 0.00000 | val_dev 0.69236 | expl_dev 0.53184
epoch  670 | train_nll -1.31586 | train_fsce 0.00000 | val_dev 0.69915 | expl_dev 0.52725
epoch  675 | train_nll -1.33068 | train_fsce 0.00000 | val_dev 0.67993 | expl_dev 0.54024
epoch  680 | train_nll -1.32470 | train_fsce 0.00000 | val_dev 0.67542 | expl_dev 0.54329
epoch  685 | train_nll -1.32051 | train_fsce 0.00000 | val_dev 0.68450 | expl_dev 0.53715
epoch  690 | train_nll -1.32121 | train_fsce 0.00000 | val_dev 0.67709 | expl_dev 0.54216
epoch  695 | train_nll -1.32614 | train_fsce 0.00000 | val_dev 0.67569 | expl_dev 0.54312
epoch  700 | train_nll -1.33062 | train_fsce 0.00000 | val_dev 0.66462 | expl_dev 0.55060
epoch  705 | train_nll -1.32161 | train_fsce 0.00000 | val_dev 0.66790 | expl_dev 0.54838
epoch  710 | train_nll -1.32461 | train_fsce 0.00000 | val_dev 0.67997 | expl_dev 0.54022
epoch  715 | train_nll -1.32887 | train_fsce 0.00000 | val_dev 0.66798 | expl_dev 0.54833
epoch  720 | train_nll -1.32823 | train_fsce 0.00000 | val_dev 0.66345 | expl_dev 0.55139
epoch  725 | train_nll -1.33114 | train_fsce 0.00000 | val_dev 0.66461 | expl_dev 0.55060
epoch  730 | train_nll -1.33474 | train_fsce 0.00000 | val_dev 0.65625 | expl_dev 0.55626
epoch  735 | train_nll -1.33105 | train_fsce 0.00000 | val_dev 0.67354 | expl_dev 0.54456
epoch  740 | train_nll -1.33385 | train_fsce 0.00000 | val_dev 0.67150 | expl_dev 0.54595
epoch  745 | train_nll -1.31721 | train_fsce 0.00000 | val_dev 0.68678 | expl_dev 0.53562
epoch  750 | train_nll -1.33410 | train_fsce 0.00000 | val_dev 0.66550 | expl_dev 0.55000
epoch  755 | train_nll -1.32903 | train_fsce 0.00000 | val_dev 0.68697 | expl_dev 0.53548
epoch  760 | train_nll -1.33622 | train_fsce 0.00000 | val_dev 0.66823 | expl_dev 0.54815
epoch  765 | train_nll -1.33262 | train_fsce 0.00000 | val_dev 0.67204 | expl_dev 0.54558
epoch  770 | train_nll -1.32711 | train_fsce 0.00000 | val_dev 0.68013 | expl_dev 0.54011
epoch  775 | train_nll -1.33567 | train_fsce 0.00000 | val_dev 0.66901 | expl_dev 0.54763
epoch  780 | train_nll -1.33851 | train_fsce 0.00000 | val_dev 0.66468 | expl_dev 0.55056
epoch  785 | train_nll -1.33584 | train_fsce 0.00000 | val_dev 0.68599 | expl_dev 0.53615
epoch  790 | train_nll -1.33404 | train_fsce 0.00000 | val_dev 0.66966 | expl_dev 0.54719
epoch  795 | train_nll -1.33193 | train_fsce 0.00000 | val_dev 0.65935 | expl_dev 0.55416
epoch  800 | train_nll -1.33887 | train_fsce 0.00000 | val_dev 0.68396 | expl_dev 0.53752
epoch  805 | train_nll -1.34390 | train_fsce 0.00000 | val_dev 0.68337 | expl_dev 0.53792
epoch  810 | train_nll -1.32843 | train_fsce 0.00000 | val_dev 0.67617 | expl_dev 0.54279
epoch  815 | train_nll -1.33196 | train_fsce 0.00000 | val_dev 0.66394 | expl_dev 0.55106
epoch  820 | train_nll -1.33642 | train_fsce 0.00000 | val_dev 0.65869 | expl_dev 0.55461
epoch  825 | train_nll -1.31502 | train_fsce 0.00000 | val_dev 0.70747 | expl_dev 0.52162
epoch  830 | train_nll -1.33647 | train_fsce 0.00000 | val_dev 0.70156 | expl_dev 0.52562
epoch  835 | train_nll -1.33726 | train_fsce 0.00000 | val_dev 0.66820 | expl_dev 0.54818
epoch  840 | train_nll -1.33614 | train_fsce 0.00000 | val_dev 0.69973 | expl_dev 0.52686
epoch  845 | train_nll -1.34462 | train_fsce 0.00000 | val_dev 0.67341 | expl_dev 0.54465
epoch  850 | train_nll -1.33402 | train_fsce 0.00000 | val_dev 0.64970 | expl_dev 0.56068
epoch  855 | train_nll -1.33383 | train_fsce 0.00000 | val_dev 0.64495 | expl_dev 0.56390
epoch  860 | train_nll -1.34260 | train_fsce 0.00000 | val_dev 0.65258 | expl_dev 0.55874
epoch  865 | train_nll -1.33911 | train_fsce 0.00000 | val_dev 0.66112 | expl_dev 0.55296
epoch  870 | train_nll -1.34494 | train_fsce 0.00000 | val_dev 0.64814 | expl_dev 0.56174
epoch  875 | train_nll -1.33796 | train_fsce 0.00000 | val_dev 0.66793 | expl_dev 0.54836
epoch  880 | train_nll -1.33213 | train_fsce 0.00000 | val_dev 0.65870 | expl_dev 0.55460
epoch  885 | train_nll -1.33775 | train_fsce 0.00000 | val_dev 0.69870 | expl_dev 0.52755
epoch  890 | train_nll -1.33274 | train_fsce 0.00000 | val_dev 0.66819 | expl_dev 0.54818
epoch  895 | train_nll -1.33773 | train_fsce 0.00000 | val_dev 0.67388 | expl_dev 0.54434
epoch  900 | train_nll -1.33777 | train_fsce 0.00000 | val_dev 0.65635 | expl_dev 0.55619
epoch  905 | train_nll -1.33975 | train_fsce 0.00000 | val_dev 0.66214 | expl_dev 0.55228
epoch  910 | train_nll -1.28073 | train_fsce 0.00000 | val_dev 0.77397 | expl_dev 0.47666
epoch  915 | train_nll -1.25088 | train_fsce 0.00000 | val_dev 0.78351 | expl_dev 0.47020
epoch  920 | train_nll -1.27729 | train_fsce 0.00000 | val_dev 0.78748 | expl_dev 0.46752
epoch  925 | train_nll -1.28877 | train_fsce 0.00000 | val_dev 0.73994 | expl_dev 0.49967
epoch  930 | train_nll -1.30041 | train_fsce 0.00000 | val_dev 0.71867 | expl_dev 0.51405
epoch  935 | train_nll -1.30636 | train_fsce 0.00000 | val_dev 0.70577 | expl_dev 0.52277
epoch  940 | train_nll -1.31266 | train_fsce 0.00000 | val_dev 0.72398 | expl_dev 0.51046
epoch  945 | train_nll -1.31378 | train_fsce 0.00000 | val_dev 0.69879 | expl_dev 0.52749
epoch  950 | train_nll -1.32100 | train_fsce 0.00000 | val_dev 0.70202 | expl_dev 0.52531
epoch  955 | train_nll -1.32244 | train_fsce 0.00000 | val_dev 0.68408 | expl_dev 0.53744
epoch  960 | train_nll -1.31807 | train_fsce 0.00000 | val_dev 0.70812 | expl_dev 0.52119
epoch  965 | train_nll -1.28582 | train_fsce 0.00000 | val_dev 0.69900 | expl_dev 0.52735
epoch  970 | train_nll -1.32558 | train_fsce 0.00000 | val_dev 0.67736 | expl_dev 0.54199
epoch  975 | train_nll -1.33057 | train_fsce 0.00000 | val_dev 0.67770 | expl_dev 0.54175
epoch  980 | train_nll -1.32332 | train_fsce 0.00000 | val_dev 0.69827 | expl_dev 0.52784
epoch  985 | train_nll -1.30809 | train_fsce 0.00000 | val_dev 0.69328 | expl_dev 0.53122
epoch  990 | train_nll -1.32488 | train_fsce 0.00000 | val_dev 0.71570 | expl_dev 0.51606
epoch  995 | train_nll -1.32408 | train_fsce 0.00000 | val_dev 0.69499 | expl_dev 0.53006
epoch 1000 | train_nll -1.32678 | train_fsce 0.00000 | val_dev 0.69830 | expl_dev 0.52782
已存 /Users/yentso/developer/StartOver/model/v2_ddae/result/latents.npz
