label,mean,std,max,min,q1,mid,q3
0,0.72438,0.04400,0.77524,0.64631,0.69282,0.73436,0.75998
0.01,0.72706,0.04108,0.78738,0.65467,0.69485,0.73667,0.75279
0.05,0.72455,0.03628,0.78949,0.65571,0.70554,0.72989,0.74676
0.1,0.73611,0.04223,0.78464,0.63901,0.73198,0.74839,0.76392
