label,mean,std,max,min,q1,mid,q3
[LAMBDA_FSCE=0.01],0.72363,0.02822,0.77551,0.68375,0.70315,0.71937,0.74088
[LAMBDA_FSCE=0.05],0.72300,0.03021,0.76014,0.65403,0.71169,0.72986,0.74465
[LAMBDA_FSCE=0.1],0.72137,0.03837,0.77635,0.64249,0.70667,0.72396,0.74586
[LAMBDA_FSCE=0.5],0.74451,0.03367,0.80208,0.69428,0.71459,0.75337,0.76581
[LAMBDA_FSCE=1],0.76145,0.02734,0.80233,0.71519,0.74170,0.76127,0.78392
