label,mean,std,max,min,q1,mid,q3
base,0.82856,0.03616,0.88648,0.75707,0.81308,0.83369,0.85094
0.01,0.84074,0.03965,0.91683,0.78887,0.81046,0.83795,0.85623
0.05,0.84996,0.04806,0.93941,0.76430,0.82906,0.83584,0.88542
0.1,0.84770,0.04086,0.92945,0.79724,0.80688,0.85361,0.87387
0.1-hidden32,0.85456,0.04884,0.95999,0.78025,0.82660,0.85353,0.87167
