label,mean,std,max,min,q1,mid,q3
[0.001],0.72296,0.03287,0.75862,0.64080,0.72280,0.72608,0.74587
[0.01],0.70784,0.03572,0.76495,0.64959,0.68656,0.69938,0.73349
[0.012],0.70350,0.03841,0.74680,0.62741,0.67197,0.71266,0.73697
[0.014],0.70946,0.03124,0.74271,0.65288,0.68452,0.72205,0.73645
[0.02],0.71297,0.03570,0.75889,0.64746,0.69253,0.71776,0.73807
