label,mean,std,max,min,q1,mid,q3
[0.001],0.72411,0.03032,0.77606,0.65479,0.71165,0.72364,0.73974
[0.01],0.72462,0.03500,0.79969,0.67239,0.70190,0.72964,0.73918
[0.05],0.72632,0.03644,0.78104,0.66082,0.70039,0.72761,0.75695
[0.1],0.72729,0.03555,0.78326,0.67199,0.69761,0.73219,0.75716
[0.5],0.73135,0.03089,0.78235,0.68385,0.70869,0.73011,0.74642
