label,mean,std,max,min,q1,mid,q3
300,0.78760,0.03811,0.72067,0.85543,0.75713,0.79553,0.80915
600,0.76265,0.03868,0.82200,0.67695,0.75345,0.76627,0.78496
1200,0.74212,0.04052,0.80159,0.67462,0.71171,0.74221,0.77425
2000,0.72706,0.04108,0.78738,0.65467,0.69485,0.73667,0.75279
0.05,0.72455,0.03628,0.78949,0.65571,0.70554,0.72989,0.74676
