label,mean,std,max,min,q1,mid,q3
[0.2],0.72313,0.03763,0.79694,0.66019,0.70432,0.72288,0.74106
[0.25],0.72963,0.02966,0.78255,0.67146,0.71240,0.73717,0.74675
[0.27],0.72262,0.03600,0.79966,0.66651,0.69410,0.72908,0.73450
[0.28],0.72296,0.03287,0.75862,0.64080,0.72280,0.72608,0.74587
[0.3],0.71805,0.03888,0.77565,0.63522,0.69788,0.72642,0.74074
[0.4],0.74051,0.04326,0.80726,0.63762,0.72065,0.74952,0.76135 
