category,count,ratio
Dining and Drinking,24878,41.93793091822457
Retail,12629,21.289256755617743
Nightlife Spot,4249,7.162724836061428
Community and Government,3936,6.635087068660339
Travel and Transportation,3768,6.351882132802886
Business and Professional Services,3173,5.348864651641072
Landmarks and Outdoors,2786,4.696481852969438
Arts and Entertainment,2307,3.8890106370425315
Health and Medicine,1006,1.6958581278130849
Sports and Recreation,589,0.9929030191669054
