model,sample_id,step,amount,z1,z2
AE,31,1,1,-0.64926696,-0.44578066
AE,31,2,2,-0.9319517,-0.5308111
AE,31,3,3,-1.1420393,-0.635412
AE,32,0,0,-0.15966901,1.0509139
AE,32,1,1,-0.87385446,1.2343166
AE,32,2,2,-0.98801994,1.0947825
AE,32,3,3,-1.066908,0.8351643
AE,33,0,0,-0.71849537,0.7989414
AE,33,1,1,-0.8130842,0.4961342
AE,33,2,2,-0.86852735,0.29468134
AE,33,3,3,-0.9692581,0.14498925
AE,34,0,0,-0.12698135,-0.06920855
AE,34,1,1,-0.8567704,-0.28938895
AE,34,2,2,-0.97104925,-0.37820113
AE,34,3,3,-1.0514537,-0.44438037
AE,35,0,0,0.3943883,0.6341128
AE,35,1,1,-0.82271826,0.7249528
AE,35,2,2,-1.0639814,1.2684982
AE,35,3,3,-1.3522114,0.5754819
AE,36,0,0,0.34661165,0.092013806
AE,36,1,1,-0.63809913,0.12233932
AE,36,2,2,-1.0009096,0.6671982
AE,36,3,3,-1.360753,0.14559215
AE,37,0,0,0.20836024,0.40765607
AE,37,1,1,-0.86945325,0.9317004
AE,37,2,2,-0.9265114,0.6180874
AE,37,3,3,-1.0537249,0.40519044
AE,38,0,0,0.70355964,-0.5344429
AE,38,1,1,4.6237755,-3.5348964
AE,38,2,2,-0.8162465,0.15392686
AE,38,3,3,-2.6804597,-0.87583107
AE,39,0,0,-2.9684513,1.345108
AE,39,1,1,-1.4269867,0.7132898
AE,39,2,2,-1.0839121,0.5832908
AE,39,3,3,-1.016669,0.41364563
AE,40,0,0,-1.854742,-1.296927
AE,40,1,1,-1.7508979,-1.2967321
AE,40,2,2,-1.6324674,-1.234857
AE,40,3,3,-1.521208,-1.1325364
AE,41,0,0,0.8517393,0.82767546
AE,41,1,1,-0.93019545,1.0007167
AE,41,2,2,-0.9319576,0.50134695
AE,41,3,3,-1.0384979,0.23099272
AE,42,0,0,-1.3328834,0.34783146
AE,42,1,1,-1.0884727,0.08994557
AE,42,2,2,-0.99882436,0.059404746
AE,42,3,3,-0.9934437,0.00578594
AE,43,0,0,0.05702221,-0.3744809
AE,43,1,1,-0.8223223,-0.08665963
AE,43,2,2,-0.918885,-0.12014517
AE,43,3,3,-1.0028491,-0.20862412
AE,44,0,0,-1.3206986,-2.6398294
AE,44,1,1,-2.119316,-3.9281611
AE,44,2,2,-2.8301356,-5.140079
AE,44,3,3,-3.411359,-5.949699
AE,45,0,0,-1.5050019,6.01081
AE,45,1,1,-1.4408457,3.1024797
AE,45,2,2,-1.2582161,2.02943
AE,45,3,3,-1.449308,1.6111561
AE,46,0,0,0.8567974,-1.9748514
AE,46,1,1,2.4597392,-3.377786
AE,46,2,2,0.004579682,-8.144127
AE,46,3,3,-2.7545576,-4.0018687
AE,47,0,0,-3.427796,9.029685
AE,47,1,1,-1.8154148,3.6490328
AE,47,2,2,-1.2614522,2.2896254
AE,47,3,3,-1.2351977,1.8098371
AE,48,0,0,0.8836553,-2.1976862
AE,48,1,1,1.7829381,-3.7181404
AE,48,2,2,1.220558,-7.035396
AE,48,3,3,-2.1447484,-2.4258873
AE,49,0,0,0.40140823,1.0368892
AE,49,1,1,-0.5611384,1.0850534
AE,49,2,2,-1.2456887,2.0989945
AE,49,3,3,-1.5342351,1.5247767
AE,50,0,0,0.7280722,-1.5175889
AE,50,1,1,4.2572365,-5.2795935
AE,50,2,2,4.3064876,-6.9322863
AE,50,3,3,0.22977085,-3.5998766
AE,51,0,0,2.3681865,-0.32921812
AE,51,1,1,1.8018174,-2.2811382
AE,51,2,2,-1.0262103,-6.3892374
AE,51,3,3,-3.3075676,-8.019689
AE,52,0,0,0.5813463,-0.7829611
AE,52,1,1,-0.7575853,0.08112806
AE,52,2,2,-1.408476,-0.28536782
AE,52,3,3,-2.0306165,-0.8742616
AE,53,0,0,1.1770526,0.12889864
AE,53,1,1,0.2191451,-0.12291356
AE,53,2,2,-1.152748,1.7766105
AE,53,3,3,-1.4182385,0.914487
AE,54,0,0,0.32128385,0.05132195
AE,54,1,1,-0.9710465,1.5435082
AE,54,2,2,-1.0642573,1.3259679
AE,54,3,3,-1.2960079,0.7859556
AE,55,0,0,0.36627123,0.38057187
AE,55,1,1,-0.13271116,-1.2018046
AE,55,2,2,-0.97725976,0.37885496
AE,55,3,3,-1.4277622,-0.2611996
AE,56,0,0,1.3122953,-0.42309073
AE,56,1,1,-0.5638856,1.1347395
AE,56,2,2,-0.99819535,1.0261111
AE,56,3,3,-1.3367736,0.45067114
AE,57,0,0,0.3110352,1.4120983
AE,57,1,1,-1.2744483,2.6653402
AE,57,2,2,-1.0998404,1.8203263
AE,57,3,3,-1.1811732,1.4294708
AE,58,0,0,0.7602386,0.5671095
AE,58,1,1,2.5232565,-1.7346053
AE,58,2,2,-1.3505871,1.719051
AE,58,3,3,-1.675985,0.1084664
AE,59,0,0,-0.15806206,2.7919097
AE,59,1,1,-1.1099269,2.4271984
AE,59,2,2,-1.4086896,2.4911036
AE,59,3,3,-1.7799157,2.1989992
AE,60,0,0,0.78455096,-0.39172336
AE,60,1,1,-0.2620815,-0.7559105
AE,60,2,2,-0.951885,-0.64933074
AE,60,3,3,-1.2716916,-0.768093
AE,61,0,0,2.6581836,0.093044385
AE,61,1,1,3.4483666,-0.6325607
AE,61,2,2,3.752172,-4.0123796
AE,61,3,3,-0.85115397,-0.6246041
AE,62,0,0,-3.430027,1.20223
AE,62,1,1,-1.9096202,0.45793906
AE,62,2,2,-1.2579507,0.38549176
AE,62,3,3,-1.0983019,0.2800009
AE,63,0,0,-1.1857266,0.15214425
AE,63,1,1,-1.0487009,-0.08931855
AE,63,2,2,-1.072763,-0.27139917
AE,63,3,3,-1.1131773,-0.3804269
AE,64,0,0,-1.6945457,-0.44223294
AE,64,1,1,-1.4169424,-0.42989054
AE,64,2,2,-1.258764,-0.34197947
AE,64,3,3,-1.1775864,-0.27073595
AE,65,0,0,-0.0261984,0.5754126
AE,65,1,1,-0.97597975,0.4952071
AE,65,2,2,-0.97249854,-0.111109555
AE,65,3,3,-1.0645094,-0.3588139
AE,66,0,0,-0.5439101,0.3671806
AE,66,1,1,-0.80200154,0.19015802
AE,66,2,2,-0.89108735,0.12834382
AE,66,3,3,-1.0092165,0.02797506
AE,67,0,0,-2.4632874,0.8835924
AE,67,1,1,-1.5613742,0.72483003
AE,67,2,2,-1.2089542,0.68817365
AE,67,3,3,-1.0981077,0.5840376
AE,68,0,0,-0.7321753,1.5258918
AE,68,1,1,-0.93595946,1.3655515
AE,68,2,2,-1.0407637,1.0471561
AE,68,3,3,-1.3028795,0.7780456
AE,69,0,0,0.3061808,0.5950355
AE,69,1,1,-0.92112255,0.87674785
AE,69,2,2,-1.0253705,0.98760426
AE,69,3,3,-1.354669,0.40146196
AE,70,0,0,-0.10403283,-0.7850534
AE,70,1,1,-1.164699,-1.8046333
AE,70,2,2,-1.756625,-3.3341644
AE,70,3,3,-2.2759476,-4.605758
AE,71,0,0,0.24947186,-3.654665
AE,71,1,1,-1.0933012,-2.9683092
AE,71,2,2,-1.7165517,-0.9477322
AE,71,3,3,-1.9998016,-1.1577108
AE,72,0,0,-0.13545012,0.88386124
AE,72,1,1,-0.9423697,1.172073
AE,72,2,2,-0.97566813,0.7370822
AE,72,3,3,-1.1268619,0.41729173
AE,73,0,0,0.8151036,2.9521966
AE,73,1,1,-1.3620706,2.676131
AE,73,2,2,-1.0996531,1.7637212
AE,73,3,3,-1.1478803,1.3003616
AE,74,0,0,-1.0986636,-0.45698026
AE,74,1,1,-1.1292651,-0.61863196
AE,74,2,2,-1.142346,-0.6320359
AE,74,3,3,-1.1366441,-0.5829018
AE,75,0,0,-0.07204663,0.11662844
AE,75,1,1,-0.76482743,-0.28311816
AE,75,2,2,-0.9575811,-0.344894
AE,75,3,3,-1.1007873,-0.43259984
AE,76,0,0,0.3841371,-0.00066712877
AE,76,1,1,-0.13424933,-0.7633507
AE,76,2,2,-0.97270215,0.07723307
AE,76,3,3,-1.5574168,-0.5830764
AE,77,0,0,-1.6785498,-0.15506281
AE,77,1,1,-1.352432,-0.23608539
AE,77,2,2,-1.19069,-0.21600524
AE,77,3,3,-1.1292614,-0.20510912
AE,78,0,0,-1.7149774,2.7136753
AE,78,1,1,-1.1647307,1.7359024
AE,78,2,2,-1.0465977,1.3006291
AE,78,3,3,-1.0591309,0.9341193
AE,79,0,0,-1.6093806,2.1857374
AE,79,1,1,-1.062421,1.1869954
AE,79,2,2,-0.98770815,0.6868586
AE,79,3,3,-1.035136,0.3634621
AE,80,0,0,-0.36476082,-0.057644144
AE,80,1,1,-0.8685749,-0.18159033
AE,80,2,2,-0.9615371,-0.3802407
AE,80,3,3,-1.0401844,-0.49674213
AE,81,0,0,-0.97624475,0.24443147
AE,81,1,1,-0.94393384,0.004818628
AE,81,2,2,-0.9798276,-0.106115244
AE,81,3,3,-1.0686975,-0.20474511
AE,82,0,0,-3.021735,-0.030824792
AE,82,1,1,-2.5989232,-0.17450066
AE,82,2,2,-2.2304149,-0.12123367
AE,82,3,3,-1.928497,-0.038874757
AE,83,0,0,-4.055162,0.18898553
AE,83,1,1,-3.210075,0.17608386
AE,83,2,2,-2.656715,0.29876876
AE,83,3,3,-2.2493217,0.3183156
AE,84,0,0,-3.397349,2.2327578
AE,84,1,1,-1.7310716,1.8140756
AE,84,2,2,-1.2334355,1.3599492
AE,84,3,3,-1.0804677,0.97413653
AE,85,0,0,0.38557664,-1.1497518
AE,85,1,1,-0.6390166,-1.3267347
AE,85,2,2,-1.3913757,-2.646996
AE,85,3,3,-1.8625476,-3.7363868
AE,86,0,0,0.17579143,-0.21193638
AE,86,1,1,-0.30922684,-0.42265308
AE,86,2,2,-0.93455726,-0.34399575
AE,86,3,3,-1.2145401,-0.5592306
AE,87,0,0,-0.48543063,-0.8438673
AE,87,1,1,-0.95360833,-1.2921373
AE,87,2,2,-1.1760927,-1.4010698
AE,87,3,3,-1.3069614,-1.3926288
AE,88,0,0,0.4511809,0.45678458
AE,88,1,1,0.024128957,-1.8596754
AE,88,2,2,-0.9982392,0.5252035
AE,88,3,3,-1.3117508,-0.12452349
AE,89,0,0,1.6052512,-0.401483
AE,89,1,1,1.9225075,-0.59892434
AE,89,2,2,-1.0369159,-1.0376183
AE,89,3,3,-1.5744125,-0.79308057
AE,90,0,0,-0.8788879,-1.5166607
AE,90,1,1,-1.1217278,-1.8279862
AE,90,2,2,-1.309493,-2.0292797
AE,90,3,3,-1.441868,-2.1181834
AE,91,0,0,1.893971,-2.015546
AE,91,1,1,3.0835712,-3.4902008
AE,91,2,2,2.6205702,-2.7775238
AE,91,3,3,-0.95525485,-0.97484446
AE,92,0,0,-0.7172024,1.0255198
AE,92,1,1,-0.99460024,0.5189231
AE,92,2,2,-0.92450637,0.21114933
AE,92,3,3,-0.98931515,0.029873341
AE,93,0,0,0.99395,0.8851809
AE,93,1,1,-1.0527625,1.223082
AE,93,2,2,-0.9529922,0.37785524
AE,93,3,3,-1.0535,0.04417264
AE,94,0,0,0.31770352,-0.09045254
AE,94,1,1,-0.79525924,-0.21606681
AE,94,2,2,-0.9929864,-0.408172
AE,94,3,3,-1.0994819,-0.5052492
AE,95,0,0,1.3398762,-0.19355145
AE,95,1,1,0.8292533,-0.67826885
AE,95,2,2,-1.1110514,1.0447242
AE,95,3,3,-1.6172557,0.31415018
AE,96,0,0,0.9990332,0.25933772
AE,96,1,1,-1.1343744,2.0543272
AE,96,2,2,-1.0210787,1.2056524
AE,96,3,3,-1.2035067,0.79509306
AE,97,0,0,1.4878616,-0.39181516
AE,97,1,1,-1.1678708,2.8888738
AE,97,2,2,-1.0882623,1.729958
AE,97,3,3,-1.2903155,1.293823
AE,98,0,0,0.25472695,-0.13788623
AE,98,1,1,-0.032100562,-0.44774982
AE,98,2,2,-0.7803159,-0.45556113
AE,98,3,3,-1.2289497,-0.8020867
AE,99,0,0,0.16226341,-0.20277707
AE,99,1,1,-0.33324492,-0.64680386
AE,99,2,2,-0.8747112,-0.5812508
AE,99,3,3,-1.0749137,-0.6174546
AE,100,0,0,0.29905862,-0.15336902
AE,100,1,1,-0.06707876,-0.49592978
AE,100,2,2,-0.934837,-0.10890155
AE,100,3,3,-1.3462043,-0.46363512
AE,101,0,0,-0.2731512,1.4974334
AE,101,1,1,-1.1930295,2.2481217
AE,101,2,2,-1.0440534,1.6265843
AE,101,3,3,-1.082882,1.263352
AE,102,0,0,1.1148956,-0.35032094
AE,102,1,1,-0.8789971,1.475486
AE,102,2,2,-0.9476442,0.49794385
AE,102,3,3,-1.2003636,0.18721318
AE,103,0,0,-2.8106697,1.843977
AE,103,1,1,-1.1814758,0.8967409
AE,103,2,2,-0.982211,0.58819884
AE,103,3,3,-0.9779753,0.34756127
AE,104,0,0,-0.83612674,0.070013985
AE,104,1,1,-0.921122,-0.009311699
AE,104,2,2,-0.9584768,-0.09341236
AE,104,3,3,-1.0105727,-0.16781361
AE,105,0,0,-0.56964093,1.3015741
AE,105,1,1,-0.87341785,0.7357949
AE,105,2,2,-0.8967905,0.41251156
AE,105,3,3,-0.9758979,0.18265612
AE,106,0,0,-3.1965857,-7.328983
AE,106,1,1,-3.8282917,-7.133156
AE,106,2,2,-4.135676,-7.119202
AE,106,3,3,-4.263197,-7.1883993
AE,107,0,0,0.43827856,0.6832829
AE,107,1,1,-1.0026191,1.3271298
AE,107,2,2,-0.9480898,0.72966033
AE,107,3,3,-1.0827135,0.41071928
AE,108,0,0,3.609879,1.7605876
AE,108,1,1,3.0962148,-1.8967252
AE,108,2,2,-1.4064262,2.65538
AE,108,3,3,-1.5109779,1.7530117
AE,109,0,0,-0.5697027,2.6679137
AE,109,1,1,-1.2957019,3.008735
AE,109,2,2,-1.4471712,2.9546106
AE,109,3,3,-1.6488869,2.848051
AE,110,0,0,0.41460967,1.1207929
AE,110,1,1,-1.1626813,2.2741175
AE,110,2,2,-1.0134212,1.3103571
AE,110,3,3,-1.1495138,0.89919263
AE,111,0,0,0.8380403,-0.025028089
AE,111,1,1,0.6012652,-1.5793002
AE,111,2,2,-1.0383569,0.7442531
AE,111,3,3,-1.5267434,-0.07269951
AE,112,0,0,0.30518737,0.5079976
AE,112,1,1,-0.419976,-0.43600467
AE,112,2,2,-0.96014863,0.33486477
AE,112,3,3,-1.3570901,-0.063407324
AE,113,0,0,-0.09408104,-0.03378573
AE,113,1,1,-0.6293675,-0.27103007
AE,113,2,2,-0.8499164,-0.34163254
AE,113,3,3,-1.0095344,-0.41478422
AE,114,0,0,0.6517894,0.20841138
AE,114,1,1,2.8486702,-1.4078858
AE,114,2,2,-0.7528798,-4.203589
AE,114,3,3,-2.338101,-1.9717093
AE,115,0,0,0.28978446,-0.9624953
AE,115,1,1,-1.7696309,-4.9951625
