patch_id,category,amount,dist_before,dist_after,delta
2,Dining and Drinking,1,5.0180255984498485,5.105467732892213,0.08744213444236415
5,Dining and Drinking,1,3.2153929194574857,3.2593086986153783,0.043915779157892576
12,Dining and Drinking,1,2.4274717225890354,2.493203208483056,0.06573148589402056
21,Dining and Drinking,1,5.385291023395427,5.252791067818235,-0.13249995557719263
25,Dining and Drinking,1,3.1280683465504593,3.1437690875217505,0.01570074097129126
36,Dining and Drinking,1,2.0050709603263517,2.0723745850689586,0.06730362474260687
37,Dining and Drinking,1,2.215943257811017,2.2424238633146114,0.026480605503594212
49,Dining and Drinking,1,3.485027824405078,3.6279387715676945,0.14291094716261643
53,Dining and Drinking,1,2.599107436156495,2.5405807549689943,-0.058526681187500706
56,Dining and Drinking,1,2.0459128925750565,2.1174204660063145,0.07150757343125802
64,Dining and Drinking,1,6.203475238789368,6.2021469182092,-0.0013283205801677411
67,Dining and Drinking,1,2.8641318796050084,2.8649392533024276,0.0008073736974192336
69,Dining and Drinking,1,3.9516225699459415,3.9143409882213773,-0.037281581724564195
72,Dining and Drinking,1,2.40056597717942,2.4208357966913554,0.020269819511935516
74,Dining and Drinking,1,3.970697470071218,4.0472447046839175,0.07654723461269963
77,Dining and Drinking,1,2.501584888583907,2.5294153623773408,0.02783047379343362
84,Dining and Drinking,1,2.111536191233065,2.137895304597973,0.026359113364907927
90,Dining and Drinking,1,3.212137939364232,3.0025218891726437,-0.20961605019158824
97,Dining and Drinking,1,3.107970832812782,3.143996504439345,0.03602567162656278
98,Dining and Drinking,1,3.088896095021928,3.1066139678666405,0.017717872844712268
99,Dining and Drinking,1,3.1507007454579243,3.1806134959377763,0.02991275047985198
109,Dining and Drinking,1,4.796165636718552,4.773007673992424,-0.02315796272612758
111,Dining and Drinking,1,4.673310323769867,4.665316587074922,-0.007993736694944964
117,Dining and Drinking,1,1.6147446776124956,1.5976314844512611,-0.017113193161234497
118,Dining and Drinking,1,1.3996616197236582,1.4186224628734854,0.018960843149827156
120,Dining and Drinking,1,1.590205309105996,1.6141402363629385,0.023934927256942462
124,Dining and Drinking,1,2.439396686929916,2.464950792960802,0.025554106030885926
126,Dining and Drinking,1,5.35741997426128,5.343073999227874,-0.014345975033405622
130,Dining and Drinking,1,3.5832607373307552,3.439793810824534,-0.14346692650622117
144,Dining and Drinking,1,3.098325164556581,3.1325355465079365,0.03421038195135573
149,Dining and Drinking,1,2.7504630486960027,2.792311841942997,0.0418487932469942
150,Dining and Drinking,1,3.5674270870402465,3.6163446757961055,0.048917588755859054
160,Dining and Drinking,1,2.088884998802002,2.061981864469467,-0.026903134332535217
164,Dining and Drinking,1,2.0878247182267944,2.0974731297138334,0.009648411487038988
166,Dining and Drinking,1,3.0742581569146648,3.137634665771256,0.06337650885659141
173,Dining and Drinking,1,2.0344320176064943,2.108182756699576,0.07375073909308183
186,Dining and Drinking,1,1.9988973020270724,1.9982358621564555,-0.0006614398706168423
189,Dining and Drinking,1,3.8619416760250846,3.831017342271049,-0.030924333754035693
199,Dining and Drinking,1,5.524269618738086,5.465269752582566,-0.058999866155519776
206,Dining and Drinking,1,3.697296737699345,3.7003306284884383,0.003033890789093441
208,Dining and Drinking,1,4.879290051527073,4.886886155491891,0.00759610396481758
209,Dining and Drinking,1,2.9565640782505636,2.957662199052555,0.0010981208019913424
212,Dining and Drinking,1,2.351523873589208,2.39918977180013,0.04766589821092193
213,Dining and Drinking,1,2.721461481896759,2.713320520056622,-0.008140961840136907
220,Dining and Drinking,1,3.487603082213645,2.9123806775036645,-0.5752224047099803
223,Dining and Drinking,1,5.632521059295711,5.564516637729259,-0.06800442156645214
234,Dining and Drinking,1,5.566811573251901,5.461885544246066,-0.10492602900583492
237,Dining and Drinking,1,4.383398643403752,4.287717889960555,-0.09568075344319737
244,Dining and Drinking,1,2.9379274409627705,2.938531518770599,0.0006040778078286735
245,Dining and Drinking,1,2.906648172124192,2.8332373217319513,-0.0734108503922406
251,Dining and Drinking,1,4.835703038568363,4.503904982114403,-0.33179805645396065
253,Dining and Drinking,1,3.8918869499646886,3.8373012729380207,-0.054585677026667945
258,Dining and Drinking,1,4.301796579858591,4.24542745293888,-0.0563691269197113
264,Dining and Drinking,1,2.3521817884020426,2.27506837045618,-0.07711341794586257
268,Dining and Drinking,1,3.7771063112819245,3.7752285164272688,-0.0018777948546557788
269,Dining and Drinking,1,2.869453662718338,2.839624104765465,-0.02982955795287312
270,Dining and Drinking,1,2.9720654372259165,2.9727883245592484,0.000722887333331812
273,Dining and Drinking,1,2.9343252052754503,2.9363269930804634,0.0020017878050131444
274,Dining and Drinking,1,3.403555306517492,3.417826098771612,0.014270792254119868
280,Dining and Drinking,1,4.498978333738492,4.43128509193479,-0.06769324180370173
283,Dining and Drinking,1,2.290765385874406,2.240457294718573,-0.050308091155833345
292,Dining and Drinking,1,6.323155688732795,6.247411524726088,-0.07574416400670714
325,Dining and Drinking,1,2.135362579460219,2.119584613494352,-0.015777965965867224
329,Dining and Drinking,1,3.3181610273586135,3.330564698153677,0.012403670795063437
330,Dining and Drinking,1,3.5703316667367035,3.5842261001583515,0.013894433421647978
335,Dining and Drinking,1,2.867945394751377,2.9158271534861853,0.047881758734808155
337,Dining and Drinking,1,3.84728819253424,3.857786403926228,0.010498211391988033
340,Dining and Drinking,1,2.9515527399128088,2.9774879879572564,0.02593524804444769
345,Dining and Drinking,1,2.3248748809041926,2.379524581350948,0.05464970044675521
356,Dining and Drinking,1,3.0371616881716648,3.0715878232455873,0.03442613507392256
360,Dining and Drinking,1,2.8363416516081266,2.8502366430992527,0.013894991491126163
363,Dining and Drinking,1,2.656818357553643,2.6749246006048795,0.018106243051236426
364,Dining and Drinking,1,2.709856789455338,2.7430381912482065,0.03318140179286866
366,Dining and Drinking,1,3.8140470239807263,3.7373509169366894,-0.07669610704403684
369,Dining and Drinking,1,3.2898504859061877,3.2937245787664944,0.0038740928603067104
373,Dining and Drinking,1,3.839532471123416,3.8678086293316194,0.028276158208203395
382,Dining and Drinking,1,2.9805602834740013,3.060126139835867,0.07956585636186553
396,Dining and Drinking,1,4.301465797462567,4.335000257049862,0.03353445958729484
400,Dining and Drinking,1,2.7759834714594076,2.7456759141645453,-0.03030755729486234
420,Dining and Drinking,1,2.624444344577647,2.711673978751252,0.08722963417360496
425,Dining and Drinking,1,2.2740720826484857,2.2826908865354274,0.008618803886941695
427,Dining and Drinking,1,2.8423200530566115,2.8756393658911605,0.03331931283454903
428,Dining and Drinking,1,3.6030399220753715,3.665184056889908,0.0621441348145364
432,Dining and Drinking,1,2.4874982706479796,2.446069806904564,-0.04142846374341547
433,Dining and Drinking,1,1.7128859810222974,1.694447824639623,-0.01843815638267432
445,Dining and Drinking,1,3.3309212733023164,3.5021818810415053,0.17126060773918894
446,Dining and Drinking,1,2.8425952311255474,2.9019426907502237,0.05934745962467636
450,Dining and Drinking,1,3.066624673441465,3.0636094513902403,-0.0030152220512245087
462,Dining and Drinking,1,2.472908853492441,2.508166126828837,0.035257273336395833
464,Dining and Drinking,1,3.4412605341892712,3.380989263890898,-0.0602712702983732
468,Dining and Drinking,1,3.738290623044069,3.7391349622560153,0.0008443392119463766
471,Dining and Drinking,1,7.994318521050442,7.779632025040804,-0.2146864960096373
477,Dining and Drinking,1,2.1321118154511636,2.1081251179606615,-0.023986697490502085
479,Dining and Drinking,1,2.138775204135044,2.1427270747995726,0.003951870664528734
480,Dining and Drinking,1,2.483960893391843,2.520863211534061,0.036902318142217894
482,Dining and Drinking,1,3.8839113941725136,3.798276588829002,-0.08563480534351164
493,Dining and Drinking,1,1.9135199443045816,1.9147158366562558,0.001195892351674166
497,Dining and Drinking,1,4.758933337903189,4.737964953933586,-0.020968383969602655
505,Dining and Drinking,1,1.9597212830787845,1.903678333225527,-0.05604294985325753
506,Dining and Drinking,1,1.9378622979046658,1.9498447841830697,0.011982486278403925
513,Dining and Drinking,1,2.096810722918748,2.0737665872800353,-0.02304413563871277
514,Dining and Drinking,1,3.825709698657322,3.6678247471163012,-0.15788495154102078
519,Dining and Drinking,1,3.971603924318419,4.092479708053712,0.12087578373529251
