fold,ddae_fsce_tfidf,ddae_fsce,ddae,ae_fsce_tfidf,ae_fsce,ae
fold1,0.66275,0.64258,0.65379,0.66790,0.65581,0.67423
fold2,0.65441,0.64296,0.63718,0.69636,0.70900,0.68277
fold3,0.63487,0.64105,0.64608,0.67202,0.68858,0.65664
fold4,0.64835,0.67208,0.65178,0.68526,0.70506,0.67192
fold5,0.64304,0.65299,0.63242,0.64123,0.71988,0.65999
mean,0.64868,0.65033,0.64425,0.67255,0.69567,0.66911
