fold,ddae_fsce_tfidf,ddae_fsce,ddae,ae_fsce_tfidf,ae_fsce,ae
fold1,0.37962,0.37062,0.37779,0.36577,0.36786,0.38761
fold2,0.37349,0.35970,0.35803,0.38508,0.40030,0.38523
fold3,0.36664,0.36865,0.36611,0.38228,0.37710,0.36977
fold4,0.37349,0.37580,0.36977,0.39024,0.38714,0.37550
fold5,0.36664,0.36782,0.35383,0.36184,0.39854,0.38118
mean,0.37198,0.36852,0.36511,0.37704,0.38619,0.37986
