fold,ddae_fsce_tfidf,ddae_fsce,ddae,ae_fsce_tfidf,ae_fsce,ae
fold1,0.70205,0.66110,0.68008,0.74525,0.72685,0.75240
fold2,0.67447,0.68378,0.67381,0.71677,0.76094,0.71511
fold3,0.65794,0.66206,0.68492,0.78401,0.74559,0.71380
fold4,0.66040,0.69434,0.65684,0.73826,0.74445,0.74371
fold5,0.65340,0.66745,0.64663,0.72848,0.73287,0.77155
mean,0.66965,0.67375,0.66845,0.74256,0.74214,0.73931
