category,model,amount,avg_offset
Sports and Recreation,AE,5,0.45485949516296387
Sports and Recreation,AE+FSCE,1,0.13389435410499573
Sports and Recreation,AE+FSCE,3,0.3934502899646759
Sports and Recreation,AE+FSCE,5,0.574962317943573
Sports and Recreation,DAE,1,0.2761886417865753
Sports and Recreation,DAE,3,0.8537895679473877
Sports and Recreation,DAE,5,1.0993701219558716
Sports and Recreation,DAE+FSCE,1,0.6259991526603699
Sports and Recreation,DAE+FSCE,3,1.5227230787277222
Sports and Recreation,DAE+FSCE,5,1.9245198965072632
