level,label,n_cell,n_poi,Dining and Drinking,Retail,Nightlife Spot,Community and Government,Travel and Transportation,Business and Professional Services,Landmarks and Outdoors,Arts and Entertainment,Health and Medicine,Sports and Recreation
0,1–4,201,372,17.473118279569892,26.61290322580645,0.5376344086021506,12.634408602150538,11.021505376344086,5.10752688172043,18.548387096774192,3.225806451612903,3.225806451612903,1.6129032258064515
1,4–10,249,1591,22.815839094908863,31.6781898177247,1.3199245757385292,9.993714644877436,10.245128849780013,3.8969201759899437,11.187932118164676,3.4569453174104336,2.1998742928975488,3.205531112507857
2,10–20,256,3573,26.028547439126786,30.534564791491743,1.5113350125944585,11.25104953820319,8.900083963056256,5.121746431570109,8.760145535964176,2.518891687657431,2.6028547439126783,2.770780856423174
3,20–53,249,8085,32.66542980828695,27.23562152133581,3.3271490414347555,10.513296227581941,8.064316635745207,5.454545454545454,5.949288806431664,2.7087198515769946,2.696351267779839,1.3852813852813852
4,53–1402,240,45700,45.6870897155361,19.10940919037199,8.540481400437637,5.422319474835886,5.676148796498906,5.400437636761488,3.8183807439824946,4.225382932166302,1.4179431072210065,0.7024070021881837
