fold,pca,ae,vae,ddae_fsce_tfidf
fold1,1.01223,0.75240,0.77802,0.70205
fold2,0.98814,0.71511,0.78999,0.67447
fold3,1.01065,0.71380,0.76727,0.65794
fold4,1.01167,0.74371,0.80599,0.66040
fold5,1.01582,0.77155,0.78877,0.65340
mean,1.00770,0.73931,0.78601,0.66965
