fold,pca,ae,vae,ddae_fsce_tfidf
fold1,0.77513,0.67423,0.68408,0.66275
fold2,0.76773,0.68277,0.71656,0.65441
fold3,0.77521,0.65664,0.68495,0.63487
fold4,0.77389,0.67192,0.68169,0.64835
fold5,0.77818,0.65999,0.68565,0.64304
mean,0.77403,0.66911,0.69059,0.64868
