fold,pca,ae,vae,ddae_fsce_tfidf
fold1,0.45656,0.38761,0.39381,0.37962
fold2,0.45244,0.38523,0.40169,0.37349
fold3,0.45602,0.36977,0.39259,0.36664
fold4,0.45540,0.37550,0.39005,0.37349
fold5,0.45729,0.38118,0.39232,0.36664
mean,0.45554,0.37986,0.39409,0.37198
