[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  EPOCHS = 3000
  SEED = 0
  NOISE_P = 0.3
  N_EXPERTS = 4
  TOP_K = 4
  LAMBDA_MOE = 0.01

split：train 987 / val 123 / test 123

epoch  285 | train_nll -1.25361 | train_fsce 0.89131 | train_moe 1.00000 | val_dev 0.80216
epoch  290 | train_nll -1.24812 | train_fsce 0.90812 | train_moe 1.00000 | val_dev 0.79294
epoch  295 | train_nll -1.24615 | train_fsce 0.93550 | train_moe 1.00000 | val_dev 0.79031
epoch  300 | train_nll -1.25655 | train_fsce 0.88209 | train_moe 1.00000 | val_dev 0.78661
epoch  305 | train_nll -1.25152 | train_fsce 0.86173 | train_moe 1.00000 | val_dev 0.80509
epoch  310 | train_nll -1.26106 | train_fsce 0.86484 | train_moe 1.00000 | val_dev 0.82091
epoch  315 | train_nll -1.25312 | train_fsce 0.90881 | train_moe 1.00000 | val_dev 0.80622
epoch  320 | train_nll -1.26262 | train_fsce 0.87987 | train_moe 1.00000 | val_dev 0.79551
epoch  325 | train_nll -1.25927 | train_fsce 0.84101 | train_moe 1.00000 | val_dev 0.79737
epoch  330 | train_nll -1.26413 | train_fsce 0.86091 | train_moe 1.00000 | val_dev 0.79658
epoch  335 | train_nll -1.26112 | train_fsce 0.83656 | train_moe 1.00000 | val_dev 0.79203
epoch  340 | train_nll -1.26832 | train_fsce 0.82049 | train_moe 1.00000 | val_dev 0.79416
epoch  345 | train_nll -1.26224 | train_fsce 0.84789 | train_moe 1.00000 | val_dev 0.78792
epoch  350 | train_nll -1.25899 | train_fsce 0.81790 | train_moe 1.00000 | val_dev 0.78479
epoch  355 | train_nll -1.26542 | train_fsce 0.89785 | train_moe 1.00000 | val_dev 0.79096
epoch  360 | train_nll -1.27448 | train_fsce 0.82933 | train_moe 1.00000 | val_dev 0.76706
epoch  365 | train_nll -1.27126 | train_fsce 0.82955 | train_moe 1.00000 | val_dev 0.77308
epoch  370 | train_nll -1.27187 | train_fsce 0.81442 | train_moe 1.00000 | val_dev 0.82189
epoch  375 | train_nll -1.25638 | train_fsce 0.73725 | train_moe 1.00000 | val_dev 0.77406
epoch  380 | train_nll -1.26756 | train_fsce 0.72618 | train_moe 1.00000 | val_dev 0.79257
epoch  385 | train_nll -1.25620 | train_fsce 0.73056 | train_moe 1.00000 | val_dev 0.78629
epoch  390 | train_nll -1.27266 | train_fsce 0.76400 | train_moe 1.00000 | val_dev 0.77674
epoch  395 | train_nll -1.27431 | train_fsce 0.82483 | train_moe 1.00000 | val_dev 0.77229
epoch  400 | train_nll -1.26746 | train_fsce 0.83756 | train_moe 1.00000 | val_dev 0.78124
epoch  405 | train_nll -1.27474 | train_fsce 0.81982 | train_moe 1.00000 | val_dev 0.78412
epoch  410 | train_nll -1.27615 | train_fsce 0.80382 | train_moe 1.00000 | val_dev 0.76681
epoch  415 | train_nll -1.27794 | train_fsce 0.81833 | train_moe 1.00000 | val_dev 0.79025
epoch  420 | train_nll -1.27709 | train_fsce 0.77479 | train_moe 1.00000 | val_dev 0.80152
epoch  425 | train_nll -1.27428 | train_fsce 0.79401 | train_moe 1.00000 | val_dev 0.78886
epoch  430 | train_nll -1.26460 | train_fsce 0.74928 | train_moe 1.00000 | val_dev 0.81729
epoch  435 | train_nll -1.25048 | train_fsce 0.79357 | train_moe 1.00000 | val_dev 0.80827
epoch  440 | train_nll -1.26616 | train_fsce 0.84577 | train_moe 1.00000 | val_dev 0.80716
epoch  445 | train_nll -1.26789 | train_fsce 0.81640 | train_moe 1.00000 | val_dev 0.77843
epoch  450 | train_nll -1.26696 | train_fsce 0.77096 | train_moe 1.00000 | val_dev 0.79294
epoch  455 | train_nll -1.27200 | train_fsce 0.76907 | train_moe 1.00000 | val_dev 0.79708
epoch  460 | train_nll -1.28317 | train_fsce 0.76970 | train_moe 1.00000 | val_dev 0.79026
epoch  465 | train_nll -1.27916 | train_fsce 0.75121 | train_moe 1.00000 | val_dev 0.78801
epoch  470 | train_nll -1.27577 | train_fsce 0.75370 | train_moe 1.00000 | val_dev 0.76200
epoch  475 | train_nll -1.27534 | train_fsce 0.72349 | train_moe 1.00000 | val_dev 0.77671
epoch  480 | train_nll -1.27889 | train_fsce 0.70963 | train_moe 1.00000 | val_dev 0.76382
epoch  485 | train_nll -1.27400 | train_fsce 0.72284 | train_moe 1.00000 | val_dev 0.77990
epoch  490 | train_nll -1.28022 | train_fsce 0.71369 | train_moe 1.00000 | val_dev 0.73673
epoch  495 | train_nll -1.27887 | train_fsce 0.71807 | train_moe 1.00000 | val_dev 0.75153
epoch  500 | train_nll -1.28046 | train_fsce 0.75472 | train_moe 1.00000 | val_dev 0.76463
epoch  505 | train_nll -1.28435 | train_fsce 0.70318 | train_moe 1.00000 | val_dev 0.76586
epoch  510 | train_nll -1.28116 | train_fsce 0.71539 | train_moe 1.00000 | val_dev 0.76469
epoch  515 | train_nll -1.27232 | train_fsce 0.67935 | train_moe 1.00000 | val_dev 0.75187
epoch  520 | train_nll -1.27742 | train_fsce 0.66639 | train_moe 1.00000 | val_dev 0.75228
epoch  525 | train_nll -1.27916 | train_fsce 0.74241 | train_moe 1.00000 | val_dev 0.74482
epoch  530 | train_nll -1.28803 | train_fsce 0.69990 | train_moe 1.00000 | val_dev 0.74189
epoch  535 | train_nll -1.28048 | train_fsce 0.76739 | train_moe 1.00000 | val_dev 0.74967
epoch  540 | train_nll -1.29019 | train_fsce 0.71756 | train_moe 1.00000 | val_dev 0.75118
epoch  545 | train_nll -1.28012 | train_fsce 0.71406 | train_moe 1.00000 | val_dev 0.76079
epoch  550 | train_nll -1.28320 | train_fsce 0.71253 | train_moe 1.00000 | val_dev 0.77245
epoch  555 | train_nll -1.28466 | train_fsce 0.70184 | train_moe 1.00000 | val_dev 0.75287
epoch  560 | train_nll -1.26768 | train_fsce 0.75600 | train_moe 1.00000 | val_dev 0.78704
epoch  565 | train_nll -1.27334 | train_fsce 0.76633 | train_moe 1.00000 | val_dev 0.77931
epoch  570 | train_nll -1.27421 | train_fsce 0.76275 | train_moe 1.00000 | val_dev 0.76079
epoch  575 | train_nll -1.28348 | train_fsce 0.73508 | train_moe 1.00000 | val_dev 0.78280
epoch  580 | train_nll -1.28569 | train_fsce 0.72059 | train_moe 1.00000 | val_dev 0.76145
epoch  585 | train_nll -1.28125 | train_fsce 0.76326 | train_moe 1.00000 | val_dev 0.77806
epoch  590 | train_nll -1.28191 | train_fsce 0.69556 | train_moe 1.00000 | val_dev 0.76118
epoch  595 | train_nll -1.28296 | train_fsce 0.70649 | train_moe 1.00000 | val_dev 0.78416
epoch  600 | train_nll -1.28238 | train_fsce 0.71040 | train_moe 1.00000 | val_dev 0.77502
epoch  605 | train_nll -1.28477 | train_fsce 0.70953 | train_moe 1.00000 | val_dev 0.74696
