z1,z2,cluster_before,cluster_after
2.0481479167938232,-4.432567119598389,1,1
-0.45387575030326843,3.08516263961792,6,2
1.1565755605697632,-5.599848747253418,2,1
0.02598782442510128,1.6237188577651978,6,6
-0.7055256366729736,1.5905125141143799,5,5
-0.3848990499973297,-0.852288007736206,0,2
-1.3075467348098755,2.523148775100708,5,5
0.40560874342918396,-3.521496534347534,2,2
-1.0324914455413818,-0.6885097026824951,7,2
-0.593778669834137,0.5267870426177979,4,6
-2.1469719409942627,3.7291359901428223,5,5
-0.20738369226455688,0.16269564628601074,4,6
0.4279954433441162,1.6582142114639282,3,6
-0.8491758704185486,-1.0806968212127686,2,2
-1.929726243019104,1.6927320957183838,7,2
-0.02306252345442772,-1.6572703123092651,2,1
-1.1069914102554321,-2.2644078731536865,2,2
0.44719308614730835,-2.156481981277466,7,1
-3.6486058235168457,0.49809858202934265,5,4
-1.8069902658462524,1.1974706649780273,5,5
1.000033974647522,0.23895880579948425,2,6
-6.306221008300781,1.0842374563217163,4,6
-6.91985559463501,1.1469289064407349,4,6
0.9679787158966064,-5.53889799118042,0,0
1.7333329916000366,-6.897001266479492,5,5
-1.7641065120697021,-0.6364668011665344,7,2
-0.41219112277030945,0.39558687806129456,2,6
-1.0655007362365723,1.2114912271499634,5,5
-1.9349545240402222,2.577443838119507,5,5
-2.0168042182922363,1.9641119241714478,7,2
-1.144404411315918,1.3239424228668213,5,6
-0.4285318851470947,-0.03893115371465683,0,6
-2.4575369358062744,1.1545556783676147,7,2
-2.0668065547943115,3.7580389976501465,5,5
-1.964042067527771,1.292223334312439,7,2
-1.9462980031967163,-0.8400688767433167,7,2
-1.5625238418579102,-0.46551287174224854,7,3
0.18685968220233917,-0.05470976233482361,0,3
0.8689330220222473,-0.2536749839782715,7,2
-0.6136365532875061,2.872544765472412,6,3
-2.014399766921997,1.3969050645828247,7,2
0.5873297452926636,-1.2955007553100586,0,0
-0.7347955703735352,-0.3332362174987793,2,6
-0.9404535889625549,2.6550049781799316,3,2
-2.956779718399048,3.9632480144500732,5,4
-1.4642804861068726,0.3516886532306671,4,6
-0.7128216028213501,-0.5232361555099487,7,7
-3.2650578022003174,4.871778964996338,5,5
-1.1527249813079834,1.8970919847488403,5,0
0.1477140635251999,-2.665592908859253,2,2
-0.7205004096031189,-0.08250989764928818,4,6
0.2042129635810852,1.307411789894104,3,6
-1.1983433961868286,-1.0156606435775757,2,2
-0.2573449909687042,0.8872365355491638,4,6
-1.7784748077392578,2.0428667068481445,7,7
0.8297192454338074,-0.06547404080629349,2,2
-0.01771894097328186,0.9873917698860168,0,6
-2.1901943683624268,-1.3820070028305054,0,3
0.8077808618545532,-4.224769592285156,2,2
-0.31883811950683594,-1.954469919204712,2,2
1.915949821472168,-1.6925667524337769,1,2
1.8526687622070312,-1.8499006032943726,2,1
2.148395538330078,-1.0945030450820923,1,0
-4.031366348266602,-0.017619125545024872,7,7
-1.037248969078064,-4.433701992034912,0,7
1.900643229484558,-0.2300247699022293,6,2
1.9301189184188843,-0.5751664042472839,6,1
1.9807515144348145,-0.10594623535871506,1,6
-2.401606559753418,3.26729679107666,5,5
-3.6075375080108643,0.5640661120414734,4,0
-2.8492414951324463,1.0224143266677856,5,3
0.7816399931907654,0.36211350560188293,3,6
-0.14872539043426514,0.279023677110672,0,2
-0.06194182112812996,0.24894128739833832,0,0
-2.5504095554351807,2.4025156497955322,5,2
1.471956729888916,-4.9339823722839355,2,1
-0.1564410924911499,-0.6190000772476196,4,6
0.7082224488258362,0.6180161237716675,7,2
-2.118346929550171,2.6533918380737305,5,2
-1.9406574964523315,-1.7759252786636353,7,2
-2.7278192043304443,2.6186892986297607,0,2
-2.2646303176879883,1.85906982421875,2,2
-2.1930313110351562,1.3617569208145142,0,0
-1.6299831867218018,1.612093210220337,5,5
-1.595279574394226,0.13296929001808167,7,7
0.9739144444465637,-2.5985054969787598,7,1
-2.172868251800537,1.7082685232162476,7,2
-0.3409879803657532,-2.078169822692871,2,2
2.057777166366577,-6.5400710105896,1,1
-0.944113552570343,-0.8215782046318054,2,2
-4.045605182647705,-0.6492463946342468,6,3
-1.7475743293762207,-0.10780500620603561,4,6
-2.1162588596343994,0.994946300983429,5,7
-2.8894670009613037,1.7877863645553589,5,3
-1.2060391902923584,-1.2936561107635498,2,3
-1.7344979047775269,1.7335442304611206,5,5
0.1331387162208557,-5.1817216873168945,7,1
-2.059755325317383,1.119279384613037,5,7
1.0346437692642212,0.612409234046936,6,3
0.8025075793266296,-1.143254041671753,3,0
-2.8570058345794678,-0.27260419726371765,4,6
0.38136035203933716,-0.5475000739097595,4,3
-0.2483418583869934,-4.221865653991699,2,2
