model,category,amount,avg_offset
DAE,Business and Professional Services,3,0.6386622786521912
DAE,Landmarks and Outdoors,1,0.37488389015197754
DAE,Landmarks and Outdoors,2,0.6409584879875183
DAE,Landmarks and Outdoors,3,0.8670712113380432
DAE,Arts and Entertainment,1,0.7306811809539795
DAE,Arts and Entertainment,2,1.6239670515060425
DAE,Arts and Entertainment,3,2.587695837020874
DAE,Health and Medicine,1,0.3445129096508026
DAE,Health and Medicine,2,0.606597900390625
DAE,Health and Medicine,3,0.8330217599868774
DAE,Sports and Recreation,1,0.4847344160079956
DAE,Sports and Recreation,2,0.9757587909698486
DAE,Sports and Recreation,3,1.2289518117904663
DAE+fsce,Dining and Drinking,1,0.3386923670768738
DAE+fsce,Dining and Drinking,2,0.5885278582572937
DAE+fsce,Dining and Drinking,3,0.9090624451637268
DAE+fsce,Retail,1,0.5889885425567627
DAE+fsce,Retail,2,1.146332859992981
DAE+fsce,Retail,3,1.4689648151397705
DAE+fsce,Nightlife Spot,1,0.714962363243103
DAE+fsce,Nightlife Spot,2,1.4197884798049927
DAE+fsce,Nightlife Spot,3,1.9440749883651733
DAE+fsce,Community and Government,1,0.6380951404571533
DAE+fsce,Community and Government,2,1.3293768167495728
DAE+fsce,Community and Government,3,1.9688760042190552
DAE+fsce,Travel and Transportation,1,1.217684268951416
DAE+fsce,Travel and Transportation,2,2.0755486488342285
DAE+fsce,Travel and Transportation,3,2.6730611324310303
DAE+fsce,Business and Professional Services,1,0.5427525043487549
DAE+fsce,Business and Professional Services,2,0.9703114628791809
DAE+fsce,Business and Professional Services,3,1.2625147104263306
DAE+fsce,Landmarks and Outdoors,1,0.7761932611465454
DAE+fsce,Landmarks and Outdoors,2,1.400275468826294
DAE+fsce,Landmarks and Outdoors,3,1.8614991903305054
DAE+fsce,Arts and Entertainment,1,0.5275420546531677
DAE+fsce,Arts and Entertainment,2,1.2231446504592896
DAE+fsce,Arts and Entertainment,3,1.975826621055603
DAE+fsce,Health and Medicine,1,0.5211945176124573
DAE+fsce,Health and Medicine,2,1.0811854600906372
DAE+fsce,Health and Medicine,3,1.597954273223877
DAE+fsce,Sports and Recreation,1,0.9134091138839722
DAE+fsce,Sports and Recreation,2,1.8476624488830566
DAE+fsce,Sports and Recreation,3,2.5733978748321533
DAE+fsce+tfidf (Ours),Dining and Drinking,1,0.1726454794406891
DAE+fsce+tfidf (Ours),Dining and Drinking,2,0.32272154092788696
DAE+fsce+tfidf (Ours),Dining and Drinking,3,0.4805343747138977
DAE+fsce+tfidf (Ours),Retail,1,0.4883491098880768
DAE+fsce+tfidf (Ours),Retail,2,1.0089764595031738
DAE+fsce+tfidf (Ours),Retail,3,1.4217181205749512
DAE+fsce+tfidf (Ours),Nightlife Spot,1,0.7907124161720276
DAE+fsce+tfidf (Ours),Nightlife Spot,2,1.4306232929229736
DAE+fsce+tfidf (Ours),Nightlife Spot,3,2.168240785598755
DAE+fsce+tfidf (Ours),Community and Government,1,0.7334436774253845
DAE+fsce+tfidf (Ours),Community and Government,2,1.569643259048462
DAE+fsce+tfidf (Ours),Community and Government,3,2.5667436122894287
DAE+fsce+tfidf (Ours),Travel and Transportation,1,1.299438238143921
DAE+fsce+tfidf (Ours),Travel and Transportation,2,2.3295912742614746
DAE+fsce+tfidf (Ours),Travel and Transportation,3,2.95794677734375
DAE+fsce+tfidf (Ours),Business and Professional Services,1,0.5385929942131042
DAE+fsce+tfidf (Ours),Business and Professional Services,2,1.0109871625900269
DAE+fsce+tfidf (Ours),Business and Professional Services,3,1.4500031471252441
DAE+fsce+tfidf (Ours),Landmarks and Outdoors,1,0.6164090037345886
DAE+fsce+tfidf (Ours),Landmarks and Outdoors,2,1.199310064315796
DAE+fsce+tfidf (Ours),Landmarks and Outdoors,3,1.758836269378662
DAE+fsce+tfidf (Ours),Arts and Entertainment,1,0.56466144323349
DAE+fsce+tfidf (Ours),Arts and Entertainment,2,1.151883840560913
DAE+fsce+tfidf (Ours),Arts and Entertainment,3,1.502936601638794
DAE+fsce+tfidf (Ours),Health and Medicine,1,0.5445594787597656
DAE+fsce+tfidf (Ours),Health and Medicine,2,1.0476138591766357
DAE+fsce+tfidf (Ours),Health and Medicine,3,1.4468040466308594
DAE+fsce+tfidf (Ours),Sports and Recreation,1,0.8827453851699829
DAE+fsce+tfidf (Ours),Sports and Recreation,2,1.693127989768982
DAE+fsce+tfidf (Ours),Sports and Recreation,3,2.404568910598755
