x,y,category
-23071.241971596697,-32795.9078898712,Dining and Drinking
-23069.111948605274,-32664.92475631937,Dining and Drinking
-23003.034445350353,-32831.955176137555,Nightlife Spot
-23295.971504249123,-32786.13903354063,Dining and Drinking
-23050.45910110559,-32784.15889602475,Dining and Drinking
-23008.07606814319,-32739.145256278767,Retail
-23049.3288768765,-32733.14391754994,Arts and Entertainment
-23018.461149471732,-32637.121001303083,Community and Government
-23117.087542953766,-32705.849157642668,Dining and Drinking
-23121.70352804881,-32600.411078087887,Dining and Drinking
-23038.739537968315,-32804.208077061965,Dining and Drinking
-23272.06495937837,-32693.506997120174,Retail
-23034.098257199286,-32886.37891929779,Nightlife Spot
-23166.107027871163,-32626.396817230267,Dining and Drinking
-23001.680257505424,-32764.409086860196,Dining and Drinking
-23100.896429861325,-32823.990154056795,Retail
-23120.30776507702,-32842.99123119809,Retail
-23101.56122137005,-32859.657288456845,Retail
-23217.7707876334,-32768.46226067916,Arts and Entertainment
-23060.83820326858,-32830.38421723783,Retail
-23061.003389210135,-32818.04789401656,Retail
-23034.25244293824,-32688.413319299787,Dining and Drinking
-23082.916192664758,-32835.87610494471,Dining and Drinking
-23084.216696894353,-32745.129460479227,Dining and Drinking
-23024.770447374398,-32639.226185669922,Business and Professional Services
-23026.14780983903,-32815.59792406923,Dining and Drinking
-23043.843502776344,-32761.178389818924,Retail
-23038.966783152762,-32704.651353497247,Dining and Drinking
-23022.429179285966,-32691.88732872135,Dining and Drinking
-23033.618461755774,-32888.5549654344,Nightlife Spot
-23002.595024400973,-32718.27744190268,Dining and Drinking
-23234.94249047954,-32698.704054793132,Retail
-23031.70374116534,-32882.02607635889,Travel and Transportation
-23004.053097273245,-32811.30331474594,Dining and Drinking
-23079.771344635,-32838.612327901144,Retail
-23184.000803499086,-32748.782803664362,Nightlife Spot
-23118.632050751457,-32673.44962066541,Dining and Drinking
-23192.61907327866,-32617.261639774908,Dining and Drinking
-23031.66102483239,-32865.54876539631,Retail
-23016.317132241616,-32768.50318677489,Retail
-23000.352025371565,-32773.144406268344,Retail
