poi_per_cell
1
2
3
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
2
3
1
2
1
1
1
1
1
1
1
1
1
1
1
9
3
5
3
2
3
1
1
1
1
1
1
1
1
2
5
3
2
1
1
1
1
1
3
1
3
1
2
2
1
2
2
1
1
3
1
1
1
5
9
28
5
1
1
1
1
1
1
2
1
2
1
1
1
1
3
6
1
1
1
1
1
1
1
4
35
5
1
1
1
1
1
14
27
20
3
2
3
1
1
2
3
3
5
2
1
1
1
5
10
6
2
5
2
1
1
1
1
2
2
19
9
2
1
2
1
4
1
1
1
2
1
1
1
10
2
1
6
1
1
2
2
1
1
1
2
2
3
1
1
1
1
3
2
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
2
4
1
1
1
3
1
1
1
1
1
1
1
1
1
1
1
1
1
3
3
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
3
2
2
5
2
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
2
3
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
1
2
1
1
2
1
1
1
1
1
1
2
1
1
2
1
1
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
4
2
1
2
2
1
1
1
1
1
1
1
1
2
1
1
1
1
1
2
1
1
2
2
1
1
1
1
2
1
1
1
1
2
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
5
1
1
1
1
1
3
1
1
1
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
3
1
2
1
1
1
4
1
1
1
1
1
1
1
2
1
1
1
1
1
2
1
1
1
1
1
1
3
1
1
1
1
2
3
1
1
3
1
1
1
2
1
4
1
1
1
2
1
2
14
9
7
1
1
1
1
1
1
1
3
10
18
9
4
1
2
3
13
6
7
4
1
1
1
1
1
2
1
1
1
1
1
1
3
27
7
1
1
1
1
1
1
1
5
2
2
5
1
1
1
1
1
1
1
2
3
1
4
6
14
1
1
1
1
2
1
1
1
3
1
1
1
1
1
1
1
2
1
1
1
1
1
3
1
1
1
1
1
1
2
1
2
1
1
1
1
1
1
5
1
2
1
1
1
1
1
4
2
1
1
1
1
1
1
5
3
1
1
1
2
1
1
1
9
1
1
1
1
1
2
1
1
3
12
2
1
2
1
2
2
1
3
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
1
1
2
1
1
1
1
6
1
2
1
2
1
1
2
1
1
1
2
1
2
1
2
1
1
1
1
2
2
3
1
1
1
1
1
1
1
1
2
1
1
3
1
1
3
1
1
2
1
1
1
1
1
1
1
1
1
3
1
1
1
1
1
1
1
2
1
1
2
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
2
1
1
1
1
1
1
1
4
1
1
1
1
1
3
1
1
1
1
1
1
1
5
3
2
1
1
1
1
3
1
1
1
1
1
1
1
1
1
1
2
1
2
3
2
1
2
1
1
1
1
2
1
1
1
1
1
1
1
4
1
1
1
2
5
1
2
1
2
1
1
3
1
1
1
7
5
2
2
1
1
1
1
1
1
1
2
1
1
1
1
1
2
1
1
2
1
1
1
1
2
2
7
9
8
1
2
1
1
1
2
1
1
2
1
1
1
1
3
2
1
1
1
4
1
1
1
1
2
3
1
2
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
7
1
1
1
1
1
1
1
1
1
1
1
1
3
2
1
2
1
1
1
1
1
2
1
1
1
1
3
1
1
1
2
2
4
1
1
1
1
1
1
1
2
2
1
1
1
1
1
9
