checkin_count
8
6
84
6
3
2
2
849
128
19
544
35
10
9
246
1
931
680
6969
836
475
9
67
5006
655
62
60
638
108
127
5
37
101
32
4
300
299
167
68
16
11891
527
14
272
11
37
105
55
74
735
67
146
1332
351
542
435
5
506
396
15
6408
887
36
45
194
42
50
164
45
2
115
37
15
267
40
232
243
139
22
22
27
23
517
963
232
20
795
336
277
35
78
323
567
1121
17
1129
460
54
460
106
481
101
427
85
108
276
1645
62
59
80
19
152
190
414
40
60
37
105
1
64
15
1165
46
1
31
243
244
899
1531
4
12372
13
201
78
370
96
2497
2663
25
60
296
64
549
171
25
663
2
1126
94
204
212
564
46
586
200
379
127
40
631
43
506
494
262
53
25
39
86
83
26
163
52
43
362
2634
296
724
149
44
287
52
50
117
190
727
1531
396
532
84
281
28
35
11
73
69
440
36
86
514
26
30
53
64
22
6
19
186
217
28
45
3040
35
152
1306
946
12
170
18
140
62
738
37
49
56
558
13
284
664
1229
110
203
1654
73
505
213
100
25
205
566
514
315
56
274
569
125
38
34
25
99
1427
256
132
83
23
51
44
701
133
271
191
356
547
1596
1180
203
68
311
146
73
152
27
91
9
2
150
53
490
31
150
53
664
257
56
123
70
72
315
59
10
5
6
810
9
21
12
133
68
943
155
249
319
165
1389
12
130
310
79
35
1695
28
66
196
2
41
377
2
405
534
92
23
298
41
81
104
66
55
211
12
27
210
50
196
128
95
98
12
79
1117
52
79
11
9
90
488
167
283
63
239
478
64
189
249
79
298
154
218
158
53
335
484
189
29
185
80
23
69
102
41
71
4
173
115
342
42
11
44
540
95
138
86
146
1
81
217
37
23
110
928
243
322
1273
77
156
884
32
33
5
7
155
75
43
21
8
436
23
2
204
59
25
213
1
7
18
6
24
20
41
689
10
494
12
99
4
62
68
8
39
18
10
6
1043
1
117
692
96
87
35
463
64
18
274
203
214
265
11
6
759
192
66
31
8
701
281
5
80
49
41
20
193
51
1506
36
54
240
101
64
48
424
39
355
185
5
73
156
31
28
29
107
11
417
211
184
39
37
12
31
25
157
222
186
9
255
119
172
35
232
143
61
45
399
148
13
558
149
36
8
947
140
18
8
398
59
60
84
150
12
54
310
673
26
60
53
14
44
24
102
107
5
83
20
471
6
322
87
3
91
9
5
19
96
71
10
82
2
19
25
36
18
170
1269
12
7
1
26
16
1
327
46
14
43
199
9
241
19
9
42
2
95
545
33
1
169
11
10
22
8
80
762
15
78
8
14
66
6
2
292
29
20
3
924
106
10
155
33
6
4
27
12
2
103
20
21
12
1
18
25
267
64
68
269
212
13
8
73
5
24
2
2
8
140
122
27
6
326
22
4
146
84
12
6
2
18
34
67
34
51
4
5
2
2
12
26
6
