patch_id,z1,z2,score,n_poi,role
2,1.4004868268966675,2.9554190635681152,0.4767638162316865,14,other
5,-0.7978335618972778,0.06521651893854141,0.4332332014173959,10,other
12,-1.119861364364624,-1.9198791980743408,0.519302399997308,27,other
21,-6.840012073516846,0.5383495092391968,2.595639005986566,11,target
25,-1.7176411151885986,0.5805619359016418,0.38885050116016134,11,other
36,-1.9060519933700562,0.3807148337364197,0.3761953947991983,15,other
37,0.06744587421417236,-0.07610101252794266,0.4958668704485165,17,other
49,0.22588232159614563,1.697226881980896,0.5421964118071112,11,other
53,-0.8372570872306824,-0.892616868019104,0.3266028490144008,15,other
56,-0.6977583765983582,-1.0592893362045288,0.2940677131245064,17,other
64,-0.1426568627357483,5.153048992156982,1.0933877965290209,11,other
67,0.9855205416679382,-1.7954961061477661,0.8966722106954357,52,other
69,-1.782386302947998,-2.054715633392334,0.5331252816258939,12,other
72,-0.2151520699262619,-0.8086485266685486,0.3532408006349333,18,other
74,1.477624773979187,2.6935789585113525,0.5089446046163831,13,other
77,-0.4731455147266388,-1.4847065210342407,0.4000605076331013,24,other
84,-1.777453064918518,-0.033460259437561035,0.4536921758764068,12,other
90,-1.3758631944656372,-2.624063730239868,0.5430741396180734,23,other
97,-2.7709193229675293,-1.2027175426483154,0.5697050699965832,15,other
98,-0.800097644329071,-2.373739242553711,0.4708658338992647,31,other
99,1.3626588582992554,0.2973576784133911,0.3357802787781508,23,other
109,-2.023677110671997,-3.1215765476226807,0.5960995299048867,25,other
111,-1.8616926670074463,-3.046143054962158,0.5586523716002444,27,other
117,-1.3223053216934204,-0.8041867017745972,0.32631611456089626,10,other
118,-0.4238283932209015,-1.3391358852386475,0.33259677380626296,22,other
120,-0.7378733158111572,-2.021557331085205,0.4127254767146181,31,other
124,-1.1231517791748047,-0.43647781014442444,0.42974198261393787,11,other
126,0.41822350025177,2.411219596862793,0.45844246542620126,12,other
130,-2.866349220275879,1.3365477323532104,0.5233879244525205,10,other
144,0.4590179920196533,-0.5416500568389893,0.4512602421254125,21,other
149,-2.1597888469696045,-0.060799211263656616,0.5238566978598095,10,other
150,-1.050553560256958,-1.892408847808838,0.504103936695667,23,other
160,-0.08599853515625,-0.04058069735765457,0.5456833508181954,18,other
164,1.3817801475524902,0.20834288001060486,0.3345894370061063,26,other
166,-0.19598737359046936,-1.072838306427002,0.2996998282689129,22,other
173,-0.009268566034734249,1.4754220247268677,0.5775251385776741,11,other
186,-0.6587151288986206,-0.13313592970371246,0.4797996276759682,11,other
189,0.8206496238708496,0.7061100602149963,0.3573433728503198,16,other
199,-1.7480131387710571,4.940369129180908,1.0982004559589997,11,other
206,2.700247049331665,3.18082857131958,0.38449508015201284,29,other
208,1.6597368717193604,-1.7244312763214111,1.2667283088067145,57,other
209,-0.23765715956687927,2.441765308380127,0.511249846093341,16,other
212,1.4622783660888672,-0.14498038589954376,0.5084226545669722,31,other
213,0.4950655698776245,-0.580856204032898,0.4619594275007839,23,other
220,-4.191036701202393,2.1224982738494873,1.0670825295591375,28,other
223,1.5861893892288208,5.61327600479126,1.376369308667773,15,other
234,-3.266969919204712,-2.069375991821289,0.6109962161755625,11,other
237,1.9646941423416138,4.488639831542969,0.7716145256582242,16,other
244,1.0686057806015015,2.6174938678741455,0.4795941124402018,10,other
245,0.07897941023111343,2.546922445297241,0.4338005240826789,10,other
251,-5.123415470123291,-1.9180091619491577,1.3919913307989944,10,other
253,-3.6175894737243652,-1.1486804485321045,0.6711398021568339,12,other
258,-2.926173210144043,-1.102283000946045,0.5676310871122393,15,other
264,-1.8709791898727417,2.0533127784729004,0.6508587521694869,10,other
268,-0.43674230575561523,-0.11551574617624283,0.524166100877322,11,other
269,-0.870077908039093,0.6336079835891724,0.38947238311848004,11,other
270,-2.2850005626678467,0.7163622379302979,0.5940037064727022,10,other
273,0.7454267144203186,2.86692476272583,0.44414241045959413,11,other
274,-0.6259927153587341,1.732828140258789,0.5541561793696301,10,other
280,-0.7889032959938049,4.685987949371338,0.9608296196759533,11,other
283,-1.9867945909500122,0.08578035235404968,0.4085393596572059,13,other
292,-4.652028560638428,1.1316112279891968,0.9926225073652812,16,other
325,2.821009397506714,3.427097797393799,0.2979073001088789,32,other
329,2.7047245502471924,1.6460098028182983,0.8776896043896696,46,other
330,2.6078174114227295,0.36256343126296997,0.9434044911805204,52,other
335,-0.9037022590637207,2.0157840251922607,0.5269845760774727,22,other
337,0.9090493321418762,-0.5261355638504028,0.5534634059139114,26,other
340,1.7050071954727173,0.45712876319885254,0.44814590440790686,32,other
345,0.870227575302124,0.7499838471412659,0.37249690638732413,18,other
356,-0.22098949551582336,0.9001513719558716,0.6551812735953949,11,other
360,-1.6693981885910034,-2.6856849193573,0.47473849016499564,23,other
363,1.6619021892547607,1.5682010650634766,0.4876841691180254,24,other
364,0.6537158489227295,0.3276077210903168,0.37388400319876625,18,other
366,0.8462406396865845,3.8006880283355713,0.6859987770821558,12,other
369,0.5676751732826233,-1.6266406774520874,0.6851792041155396,36,other
373,-0.17701388895511627,-0.9608938694000244,0.3127344378635649,20,other
382,-1.0995477437973022,-0.35725799202919006,0.451171357683856,10,other
396,2.087141275405884,-0.02120468020439148,0.616698610768044,49,other
400,1.7989110946655273,1.4087753295898438,0.5055983233897835,21,other
420,1.8198775053024292,1.987357497215271,0.5041185841000033,22,other
425,-0.13130255043506622,-1.658007264137268,0.38138878008470234,31,other
427,1.6197800636291504,0.260262131690979,0.37989391268154016,29,other
428,3.0465550422668457,1.038295030593872,1.1772950666091373,59,other
432,3.8277506828308105,3.712097406387329,1.1177156269885642,51,other
433,2.565110683441162,4.263296127319336,0.6546724598878622,25,other
445,-2.4771728515625,-1.8731489181518555,0.45467735788265645,17,other
446,-1.1233974695205688,-1.200047492980957,0.3691264084076766,14,other
450,-0.3713271915912628,-2.288593292236328,0.47657222252705994,35,other
462,-0.7331262826919556,1.249849796295166,0.5056575061970512,12,other
464,-2.6256465911865234,1.6290284395217896,0.5131976930029603,12,other
468,-1.057830810546875,-3.277803659439087,0.7843383187442823,49,other
471,-4.451065540313721,-0.913506805896759,0.756575042817853,11,other
477,1.091396450996399,-0.010342927649617195,0.43350468009848364,24,other
479,-0.33433955907821655,2.325155258178711,0.5223853230798555,17,other
480,-1.9919003248214722,0.624855101108551,0.4220479931769628,18,other
482,-3.2028326988220215,2.033916473388672,0.6054250260076859,12,other
493,-1.0314525365829468,1.8286609649658203,0.5383287745280452,15,other
497,-1.4472979307174683,3.9651107788085938,0.7764748897264313,10,other
505,-1.3314694166183472,-1.0414260625839233,0.35838476773686945,11,other
506,-0.915935218334198,-1.2298287153244019,0.3775675147630243,16,other
513,-1.27866792678833,-0.9549953937530518,0.31326017824568686,11,other
514,0.6105942130088806,0.8723613619804382,0.3775226119781637,16,other
519,-1.6027016639709473,0.1364346146583557,0.4300349124577947,12,other
523,2.687467336654663,3.4489142894744873,0.263578111484447,25,other
529,1.7823054790496826,0.2362448275089264,0.44946123473929755,37,other
550,1.2635060548782349,0.876204788684845,0.4867518820149106,21,other
555,-2.8591883182525635,-4.398416519165039,1.1457728420426743,35,other
558,0.26984646916389465,2.107913017272949,0.47816303077432676,14,other
560,-1.9657152891159058,2.393314838409424,0.7905179015686783,11,other
586,0.11025650799274445,5.485302925109863,1.1914388669563012,13,other
589,0.4809623956680298,2.8127176761627197,0.47393578961288285,13,other
591,-1.6602227687835693,0.6335686445236206,0.4141624738314043,10,other
595,-0.8397420644760132,0.37268802523612976,0.4026848504341236,12,other
596,-0.3809569180011749,-1.1147655248641968,0.26368994929229467,21,other
600,-0.9948136806488037,1.4094369411468506,0.5087829896425231,11,other
601,-2.349153518676758,-2.659860610961914,0.5402514340631764,20,other
605,1.958497166633606,-0.5659711360931396,0.8774144059485867,42,other
609,-1.432210087776184,0.4985906183719635,0.42756649651470224,10,other
611,2.593780994415283,2.980794906616211,0.5539851371927755,31,other
614,2.544205904006958,4.299045085906982,0.6757398030227268,20,other
615,-3.4161248207092285,1.2343876361846924,0.629544815450045,21,other
625,-1.2964532375335693,-0.7536100149154663,0.32360108907681434,14,other
629,-1.1204320192337036,-2.4261515140533447,0.5095447622437395,20,other
633,-1.9503918886184692,-1.7740641832351685,0.5172638500663952,13,other
634,-3.4018242359161377,-2.469604015350342,0.4492693314339499,10,other
635,0.47887948155403137,1.1562138795852661,0.4017599983968289,13,other
642,-2.4512927532196045,-3.4021995067596436,0.6557753438871625,20,other
643,2.687467336654663,3.4489142894744873,0.263578111484447,25,other
648,-3.5684704780578613,-0.8980479836463928,0.5648609850645366,12,other
649,-1.1381105184555054,0.2019895762205124,0.4644423025487643,13,other
657,-2.9506804943084717,-3.7318501472473145,0.6752696318479203,21,other
658,0.0066381110809743404,2.124281406402588,0.445469087768409,11,other
661,-3.977116823196411,-3.617957592010498,0.5663133182291341,15,other
674,-3.4253482818603516,-3.776698589324951,0.6542174976218843,20,other
676,-0.9918196797370911,3.802827835083008,0.8239976934643893,11,other
683,0.8067170977592468,4.906635761260986,0.9130896289158621,10,other
691,-3.544484853744507,2.4507944583892822,0.9527066970921333,13,other
694,0.5466312170028687,-0.1473986804485321,0.4141195664705237,19,other
707,-2.1927895545959473,4.339552879333496,1.117351451935725,11,other
717,0.5316591858863831,1.2411751747131348,0.40097275858010006,15,other
